priority,gap,author_ja,title,year_target,period_target,ndc_expect,genre_main,genre_sub,style_expect,author_sex,rationale,aozora_status,aozora_work_id,resolution_note,in_corpus
1,明治前期,ツルゲーネフ イワン,あいびき,1888,2_明治中期(1887-1899),983,Fiction,Translation,過渡,M,二葉亭四迷訳。言文一致の文体実験。青空文庫では原著者の下に登録される,公開中,5,著者名はツルゲーネフ イワン。訳者を note に記す,収録済
1,明治前期,二葉亭四迷,浮雲,1887,2_明治中期(1887-1899),913,Fiction,Modern,過渡,M,言文一致体小説の出発点。コーパスの最重要欠落,公開中,,—,収録済
1,明治前期,尾崎紅葉,金色夜叉,1897,2_明治中期(1887-1899),913,Fiction,Melodrama,過渡,M,硯友社の雅俗折衷体と新聞小説の大衆性,公開中,,—,収録済
1,明治前期,山田美妙,武蔵野,1887,2_明治中期(1887-1899),913,Fiction,Historical,過渡,M,「です・ます」体による言文一致の別系統,公開中,,—,収録済
1,明治前期,幸田露伴,五重塔,1891,2_明治中期(1887-1899),913,Fiction,Modern,文語,M,雅俗折衷体。言文一致に抗した側の代表,公開中,,—,収録済
1,明治前期,徳冨蘆花,良夜,1900,3_明治後期(1900-1911),914,Nonfiction,Sketch-Essay,過渡,M,『自然と人生』所収の写生文。同書本体は未公開のため所収作で代替,公開中,46536,—,収録済
1,明治前期,徳冨蘆花,花月の夜,1900,3_明治後期(1900-1911),914,Nonfiction,Sketch-Essay,過渡,M,同上,公開中,46537,—,収録済
1,明治前期,森鴎外,舞姫,1890,2_明治中期(1887-1899),913,Fiction,Modern,文語,M,雅文体。鴎外の文語作品を系列に加える,公開中,,—,収録済
1,明治前期,正岡子規,歌よみに与ふる書,1898,2_明治中期(1887-1899),911,Nonfiction,Criticism,文語,M,明治期批評文の文語体標本,公開中,,—,収録済
1,明治前期,福沢諭吉,旧藩情,1877,1_明治前期(〜1886),210,Nonfiction,Historical-Essay,文語,M,『文明論之概略』の代替。廃藩置県直後の士族社会を論じた明治10年の論説,公開中,45664,—,収録済
1,明治前期,福沢諭吉,学者安心論,1876,1_明治前期(〜1886),304,Nonfiction,Enlightenment-Didactic,文語,M,同上。明治9年の論説,公開中,47054,—,収録済
1,明治前期,二葉亭四迷,あひゞき,1888,2_明治中期(1887-1899),983,Fiction,Translation,過渡,M,ツルゲーネフ翻訳。言文一致の文体実験として不可欠,別著者,5,ツルゲーネフ イワン『あいびき』として公開。NDC 983、二葉亭四迷訳,収録済
1,明治前期,徳冨蘆花,自然と人生,1900,3_明治後期(1900-1911),914,Nonfiction,Sketch-Essay,過渡,M,1点のみの作家の補強かつ随筆ジャンルの補強,作業中,,未公開。同書所収の写生文『良夜』46536・『花月の夜』46537 で代替,未収録
1,明治前期,福沢諭吉,文明論之概略,1875,1_明治前期(〜1886),304,Nonfiction,Enlightenment-Didactic,文語,M,明治初期の漢文脈論説文。現行コーパスで1886年以前は『学問のすすめ』1点のみ,作業中,,青空文庫で作業中（未公開）。『旧藩情』45664・『学者安心論』47054 で代替,未収録
1,明治前期,中村正直,西国立志編,1871,1_明治前期(〜1886),159,Nonfiction,Translation-Didactic,文語,M,幕末明治の翻訳文体（漢文訓読体）の基準点,未登録,,作家登録（person2211）はあるが作品は0件。取得不可,未収録
2,女性作家,与謝野晶子,「女らしさ」とは何か,1921,4_大正(1912-1925),914,Nonfiction,Criticism,口語,F,大正期女性評論。『人及び女として』が未公開のための代替,公開中,3325,—,収録済
2,女性作家,与謝野晶子,私の貞操観,1915,4_大正(1912-1925),914,Nonfiction,Criticism,口語,F,同上,公開中,3319,—,収録済
2,女性作家,伊藤野枝,新らしき女の道,1913,4_大正(1912-1925),914,Nonfiction,Criticism,口語,F,大正期女性評論。1923年没のため公開されている,公開中,56232,—,収録済
2,女性作家,伊藤野枝,ある男の堕落,1917,4_大正(1912-1925),913,Fiction,Modern,口語,F,同上（小説）,公開中,3577,—,収録済
2,女性作家,樋口一葉,たけくらべ,1895,2_明治中期(1887-1899),913,Fiction,Modern,文語,F,明治期女性作家の最重要欠落。雅俗折衷体,公開中,,—,収録済
